org,name,orgNumber,item,orgnr,itemLabel,QID,_merge
http://dataportal.se/organisation/SE2120001439,Ale kommun,212000-1439,http://www.wikidata.org/entity/Q498470,212000-1439,Ale kommun,Q498470,both
http://dataportal.se/organisation/SE2120001553,Alingsås kommun,212000-1553,http://www.wikidata.org/entity/Q503162,212000-1553,Alingsås kommun,Q503162,both
http://dataportal.se/organisation/SE2120002882,Botkyrka kommun,212000-2882,http://www.wikidata.org/entity/Q113718,212000-2882,Botkyrka kommun,Q113718,both
http://dataportal.se/organisation/SE2120000357,Eskilstuna kommun,212000-0357,http://www.wikidata.org/entity/Q503144,212000-0357,Eskilstuna kommun,Q503144,both
http://dataportal.se/organisation/SE2120001173,Eslövs kommun,212000-1173,http://www.wikidata.org/entity/Q1130264,212000-1173,Eslövs kommun,Q1130264,both
http://dataportal.se/organisation/SE2120002916,Essunga kommun,212000-2916,http://www.wikidata.org/entity/Q503127,212000-2916,Essunga kommun,Q503127,both
http://dataportal.se/organisation/SE2120001744,Falköpings kommun,212000-1744,http://www.wikidata.org/entity/Q503214,212000-1744,Falköpings kommun,Q503214,both
http://dataportal.se/organisation/SE2120002221,Falu kommun,212000-2221,http://www.wikidata.org/entity/Q501545,212000-2221,Falu kommun,Q501545,both
http://dataportal.se/organisation/SE2120000514,Gislaveds kommun,212000-0514,http://www.wikidata.org/entity/Q505259,212000-0514,Gislaveds kommun,Q505259,both
http://dataportal.se/organisation/SE2120001595,Grästorps kommun,212000-1595,http://www.wikidata.org/entity/Q503148,212000-1595,Grästorps kommun,Q503148,both
http://dataportal.se/organisation/SE2120001637,Gullspångs kommun,212000-1637,http://www.wikidata.org/entity/Q503193,212000-1637,Gullspångs kommun,Q503193,both
http://dataportal.se/organisation/SE2120002338,Gävle kommun,212000-2338,http://www.wikidata.org/entity/Q510010,212000-2338,Gävle kommun,Q510010,both
http://dataportal.se/organisation/SE2120001652,Götene kommun,212000-1652,http://www.wikidata.org/entity/Q511281,212000-1652,Götene kommun,Q511281,both
http://dataportal.se/organisation/SE2120000084,Haninge kommun,212000-0084,http://www.wikidata.org/entity/Q113692,212000-0084,Haninge kommun,Q113692,both
http://dataportal.se/organisation/SE2120002049,Heby kommun,212000-2049,http://www.wikidata.org/entity/Q516308,212000-2049,Heby kommun,Q516308,both
http://dataportal.se/organisation/SE2120001728,Hjo kommun,212000-1728,http://www.wikidata.org/entity/Q428749,212000-1728,Hjo kommun,Q428749,both
http://dataportal.se/organisation/SE2120000068,Huddinge kommun,212000-0068,http://www.wikidata.org/entity/Q492575,212000-0068,Huddinge kommun,Q492575,both
http://dataportal.se/organisation/SE2120001264,Härryda kommun,212000-1264,http://www.wikidata.org/entity/Q500125,212000-1264,Härryda kommun,Q500125,both
http://dataportal.se/organisation/SE2120000241,Håbo kommun,212000-0241,http://www.wikidata.org/entity/Q511253,212000-0241,Håbo kommun,Q511253,both
http://dataportal.se/organisation/SE2120001629,Karlsborgs kommun,212000-1629,http://www.wikidata.org/entity/Q499435,212000-1629,Karlsborgs kommun,Q499435,both
http://dataportal.se/organisation/SE2120000845,Karlshamns kommun,212000-0845,http://www.wikidata.org/entity/Q510223,212000-0845,Karlshamns kommun,Q510223,both
http://dataportal.se/organisation/SE2120000829,Karlskrona kommun,212000-0829,http://www.wikidata.org/entity/Q1128384,212000-0829,Karlskrona kommun,Q1128384,both
http://dataportal.se/organisation/SE2120001850,Karlstads Kommun,212000-1850,http://www.wikidata.org/entity/Q498453,212000-1850,Karlstads kommun,Q498453,both
http://dataportal.se/organisation/SE2120001256,Kungsbacka kommun,212000-1256,http://www.wikidata.org/entity/Q499380,212000-1256,Kungsbacka kommun,Q499380,both
http://dataportal.se/organisation/SE2120001371,Kungälvs kommun,212000-1371,http://www.wikidata.org/entity/Q511394,212000-1371,Kungälvs kommun,Q511394,both
http://dataportal.se/organisation/SE2120001694,Lidköpings kommun,212000-1694,http://www.wikidata.org/entity/Q515358,212000-1694,Lidköpings kommun,Q515358,both
http://dataportal.se/organisation/SE2120001496,Lilla Edets kommun,212000-1496,http://www.wikidata.org/entity/Q511241,212000-1496,Lilla Edets kommun,Q511241,both
http://dataportal.se/organisation/SE2120000449,Linköpings kommun,212000-0449,http://www.wikidata.org/entity/Q499410,212000-0449,Linköpings kommun,Q499410,both
http://dataportal.se/organisation/SE2120001066,Lomma kommun,212000-1066,http://www.wikidata.org/entity/Q427991,212000-1066,Lomma kommun,Q427991,both
http://dataportal.se/organisation/SE2120001132,Lunds kommun,212000-1132,http://www.wikidata.org/entity/Q505018,212000-1132,Lunds kommun,Q505018,both
http://dataportal.se/organisation/SE2120001686,Mariestads kommun,212000-1686,http://www.wikidata.org/entity/Q427422,212000-1686,Mariestads kommun,Q427422,both
http://dataportal.se/organisation/SE2120000811,Olofströms kommun,212000-0811,http://www.wikidata.org/entity/Q504257,212000-0811,Olofströms kommun,Q504257,both
http://dataportal.se/organisation/SE2120000324,Oxelösunds kommun,212000-0324,http://www.wikidata.org/entity/Q505246,212000-0324,Oxelösunds kommun,Q505246,both
http://dataportal.se/organisation/SE2120002346,Sandvikens kommun,212000-2346,http://www.wikidata.org/entity/Q149539,212000-2346,Sandvikens kommun,Q149539,both
http://dataportal.se/organisation/SE2120000969,Simrishamns kommun,212000-0969,http://www.wikidata.org/entity/Q504626,212000-0969,Simrishamns kommun,Q504626,both
http://dataportal.se/organisation/SE2120001702,Skara kommun,212000-1702,http://www.wikidata.org/entity/Q499421,212000-1702,Skara kommun,Q499421,both
http://dataportal.se/organisation/SE2120001710,Skövde kommun,212000-1710,http://www.wikidata.org/entity/Q501452,212000-1710,Skövde kommun,Q501452,both
http://dataportal.se/organisation/SE2120001298,Stenungsunds kommun,212000-1298,http://www.wikidata.org/entity/Q511438,212000-1298,Stenungsunds kommun,Q511438,both
http://dataportal.se/organisation/SE2120002411,Sundsvalls kommun,212000-2411,http://www.wikidata.org/entity/Q504994,212000-2411,Sundsvalls kommun,Q504994,both
http://dataportal.se/organisation/SE2120001074,Svedala kommun,212000-1074,http://www.wikidata.org/entity/Q515706,212000-1074,Svedala kommun,Q515706,both
http://dataportal.se/organisation/SE2120000563,Sävsjö kommun,212000-0563,http://www.wikidata.org/entity/Q505239,212000-0563,Sävsjö kommun,Q505239,both
http://dataportal.se/organisation/SE2120000159,Södertälje kommun,212000-0159,http://www.wikidata.org/entity/Q516336,212000-0159,Södertälje kommun,Q516336,both
http://dataportal.se/organisation/SE2120000852,Sölvesborgs kommun,212000-0852,http://www.wikidata.org/entity/Q515409,212000-0852,Sölvesborgs kommun,Q515409,both
http://dataportal.se/organisation/SE2120001660,Tibro kommun,212000-1660,http://www.wikidata.org/entity/Q501432,212000-1660,Tibro kommun,Q501432,both
http://dataportal.se/organisation/SE2120001736,Tidaholms kommun,212000-1736,http://www.wikidata.org/entity/Q501459,212000-1736,Tidaholms kommun,Q501459,both
http://dataportal.se/organisation/SE2120000266,Tierps kommun,212000-0266,http://www.wikidata.org/entity/Q510198,212000-0266,Tierps kommun,Q510198,both
http://dataportal.se/organisation/SE2120001306,Tjörns kommun,212000-1306,http://www.wikidata.org/entity/Q501448,212000-1306,Tjörns kommun,Q501448,both
http://dataportal.se/organisation/SE2120000886,Tomelilla kommun,212000-0886,http://www.wikidata.org/entity/Q515519,212000-0886,Tomelilla kommun,Q515519,both
http://dataportal.se/organisation/SE2120001678,Töreboda kommun,212000-1678,http://www.wikidata.org/entity/Q501470,212000-1678,Töreboda kommun,Q501470,both
http://dataportal.se/organisation/SE2120001579,Ulricehamns kommun,212000-1579,http://www.wikidata.org/entity/Q382808,212000-1579,Ulricehamns kommun,Q382808,both
http://dataportal.se/organisation/SE2120002924,Vara kommun,212000-2924,http://www.wikidata.org/entity/Q501428,212000-2924,Vara kommun,Q501428,both
http://dataportal.se/organisation/SE2120001249,Varbergs kommun,212000-1249,http://www.wikidata.org/entity/Q179180,212000-1249,Varbergs kommun,Q179180,both
http://dataportal.se/organisation/SE2120000308,Vingåkers kommun,212000-0308,http://www.wikidata.org/entity/Q249378,212000-0308,Vingåkers kommun,Q249378,both
http://dataportal.se/organisation/SE2120000035,Värmdö kommun,212000-0035,http://www.wikidata.org/entity/Q493841,212000-0035,Värmdö kommun,Q493841,both
http://dataportal.se/organisation/SE2120001181,Ystads kommun,212000-1181,http://www.wikidata.org/entity/Q505102,212000-1181,Ystads kommun,Q505102,both
http://dataportal.se/organisation/SE2120000258,Älvkarleby kommun,212000-0258,http://www.wikidata.org/entity/Q59858,212000-0258,Älvkarleby kommun,Q59858,both
http://dataportal.se/organisation/SE2120002387,Ånge kommun,212000-2387,http://www.wikidata.org/entity/Q271107,212000-2387,Ånge kommun,Q271107,both
