item,orgnr,itemLabel,QID
http://www.wikidata.org/entity/Q498470,212000-1439,Ale kommun,Q498470
http://www.wikidata.org/entity/Q503162,212000-1553,Alingsås kommun,Q503162
http://www.wikidata.org/entity/Q182007,212000-0639,Alvesta kommun,Q182007
http://www.wikidata.org/entity/Q503167,212000-0498,Aneby kommun,Q503167
http://www.wikidata.org/entity/Q431271,212000-2122,Arboga kommun,Q431271
http://www.wikidata.org/entity/Q493855,212000-2668,Arjeplogs kommun,Q493855
http://www.wikidata.org/entity/Q499404,212000-2650,Arvidsjaurs kommun,Q499404
http://www.wikidata.org/entity/Q511365,212000-1892,Arvika kommun,Q511365
http://www.wikidata.org/entity/Q509501,212000-1983,Askersunds kommun,Q509501
http://www.wikidata.org/entity/Q500071,212000-2262,Avesta kommun,Q500071
http://www.wikidata.org/entity/Q267462,212000-1470,Bengtsfors kommun,Q267462
http://www.wikidata.org/entity/Q845930,212000-2502,Bergs kommun,Q845930
http://www.wikidata.org/entity/Q376003,212000-2833,Bjurholms kommun,Q376003
http://www.wikidata.org/entity/Q511310,212000-1041,Bjuvs kommun,Q511310
http://www.wikidata.org/entity/Q509476,212000-2767,Bodens kommun,Q509476
http://www.wikidata.org/entity/Q503102,212000-2973,Bollebygds kommun,Q503102
http://www.wikidata.org/entity/Q62469,212000-2361,Bollnäs kommun,Q62469
http://www.wikidata.org/entity/Q509546,212000-0795,Borgholms kommun,Q509546
http://www.wikidata.org/entity/Q503209,212000-2239,Borlänge kommun,Q503209
http://www.wikidata.org/entity/Q894327,212000-1561,Borås kommun,Q894327
http://www.wikidata.org/entity/Q113718,212000-2882,Botkyrka kommun,Q113718
http://www.wikidata.org/entity/Q509514,212000-0407,Boxholms kommun,Q509514
http://www.wikidata.org/entity/Q514830,212000-0894,Bromölla kommun,Q514830
http://www.wikidata.org/entity/Q504261,212000-2460,Bräcke kommun,Q504261
http://www.wikidata.org/entity/Q186662,212000-1025,Burlövs kommun,Q186662
http://www.wikidata.org/entity/Q499464,212000-0944,Båstads kommun,Q499464
http://www.wikidata.org/entity/Q503132,212000-1413,Dals-Eds kommun,Q503132
http://www.wikidata.org/entity/Q113679,212000-0126,Danderyds kommun,Q113679
http://www.wikidata.org/entity/Q509469,212000-1934,Degerfors kommun,Q509469
http://www.wikidata.org/entity/Q132334,212000-2809,Dorotea kommun,Q132334
http://www.wikidata.org/entity/Q498447,212000-1769,Eda kommun,Q498447
http://www.wikidata.org/entity/Q492614,212000-0050,Ekerö kommun,Q492614
http://www.wikidata.org/entity/Q512035,212000-0589,Eksjö kommun,Q512035
http://www.wikidata.org/entity/Q509452,212000-0738,Emmaboda kommun,Q509452
http://www.wikidata.org/entity/Q509568,212000-0282,Enköpings kommun,Q509568
http://www.wikidata.org/entity/Q503144,212000-0357,Eskilstuna kommun,Q503144
http://www.wikidata.org/entity/Q1130264,212000-1173,Eslövs kommun,Q1130264
http://www.wikidata.org/entity/Q503127,212000-2916,Essunga kommun,Q503127
http://www.wikidata.org/entity/Q47018,212000-2106,Fagersta kommun,Q47018
http://www.wikidata.org/entity/Q508168,212000-1231,Falkenbergs kommun,Q508168
http://www.wikidata.org/entity/Q503214,212000-1744,Falköpings kommun,Q503214
http://www.wikidata.org/entity/Q501545,212000-2221,Falu kommun,Q501545
http://www.wikidata.org/entity/Q503204,212000-1876,Filipstads kommun,Q503204
http://www.wikidata.org/entity/Q503180,212000-0423,Finspångs kommun,Q503180
http://www.wikidata.org/entity/Q27982,212000-0332,Flens kommun,Q27982
http://www.wikidata.org/entity/Q499385,212000-1819,Forshaga kommun,Q499385
http://www.wikidata.org/entity/Q499441,212000-1421,Färgelanda kommun,Q499441
http://www.wikidata.org/entity/Q2642771,212000-2155,Gagnefs kommun,Q2642771
http://www.wikidata.org/entity/Q505259,212000-0514,Gislaveds kommun,Q505259
http://www.wikidata.org/entity/Q239332,212000-2965,Gnesta kommun,Q239332
http://www.wikidata.org/entity/Q509609,212000-0506,Gnosjö kommun,Q509609
http://www.wikidata.org/entity/Q503122,212000-1827,Grums kommun,Q503122
http://www.wikidata.org/entity/Q503148,212000-1595,Grästorps kommun,Q503148
http://www.wikidata.org/entity/Q503193,212000-1637,Gullspångs kommun,Q503193
http://www.wikidata.org/entity/Q493815,212000-2726,Gällivare kommun,Q493815
http://www.wikidata.org/entity/Q510010,212000-2338,Gävle kommun,Q510010
http://www.wikidata.org/entity/Q52502,212000-1355,Göteborgs kommun,Q52502
http://www.wikidata.org/entity/Q511281,212000-1652,Götene kommun,Q511281
http://www.wikidata.org/entity/Q503198,212000-1611,Habo kommun,Q503198
http://www.wikidata.org/entity/Q511407,212000-1884,Hagfors kommun,Q511407
http://www.wikidata.org/entity/Q508180,212000-1926,Hallsbergs kommun,Q508180
http://www.wikidata.org/entity/Q47019,212000-2064,Hallstahammars kommun,Q47019
http://www.wikidata.org/entity/Q504692,212000-1215,Halmstads kommun,Q504692
http://www.wikidata.org/entity/Q499359,212000-1793,Hammarö kommun,Q499359
http://www.wikidata.org/entity/Q113692,212000-0084,Haninge kommun,Q113692
http://www.wikidata.org/entity/Q510310,212000-2775,Haparanda kommun,Q510310
http://www.wikidata.org/entity/Q516308,212000-2049,Heby kommun,Q516308
http://www.wikidata.org/entity/Q507684,212000-2254,Hedemora kommun,Q507684
http://www.wikidata.org/entity/Q487648,212000-1157,Helsingborgs kommun,Q487648
http://www.wikidata.org/entity/Q503111,212000-1520,Herrljunga kommun,Q503111
http://www.wikidata.org/entity/Q428749,212000-1728,Hjo kommun,Q428749
http://www.wikidata.org/entity/Q62464,212000-2296,Hofors kommun,Q62464
http://www.wikidata.org/entity/Q492575,212000-0068,Huddinge kommun,Q492575
http://www.wikidata.org/entity/Q29963,212000-2379,Hudiksvalls kommun,Q29963
http://www.wikidata.org/entity/Q512002,212000-0712,Hultsfreds kommun,Q512002
http://www.wikidata.org/entity/Q498477,212000-1207,Hylte kommun,Q498477
http://www.wikidata.org/entity/Q220881,212000-1942,Hällefors kommun,Q220881
http://www.wikidata.org/entity/Q513421,212000-2510,Härjedalens kommun,Q513421
http://www.wikidata.org/entity/Q209634,212000-2403,Härnösands kommun,Q209634
http://www.wikidata.org/entity/Q500125,212000-1264,Härryda kommun,Q500125
http://www.wikidata.org/entity/Q508125,212000-0985,Hässleholms kommun,Q508125
http://www.wikidata.org/entity/Q511253,212000-0241,Håbo kommun,Q511253
http://www.wikidata.org/entity/Q505013,212000-1165,Höganäs kommun,Q505013
http://www.wikidata.org/entity/Q510233,212000-0688,Högsby kommun,Q510233
http://www.wikidata.org/entity/Q504619,212000-1108,Hörby kommun,Q504619
http://www.wikidata.org/entity/Q266401,212000-1116,Höörs kommun,Q266401
http://www.wikidata.org/entity/Q512048,212000-2676,Jokkmokks kommun,Q512048
http://www.wikidata.org/entity/Q301259,212000-0043,Järfälla kommun,Q301259
http://www.wikidata.org/entity/Q504689,212000-0530,Jönköpings kommun,Q504689
http://www.wikidata.org/entity/Q117091,212000-2692,Kalix kommun,Q117091
http://www.wikidata.org/entity/Q508153,212000-0746,Kalmar kommun,Q508153
http://www.wikidata.org/entity/Q499435,212000-1629,Karlsborgs kommun,Q499435
http://www.wikidata.org/entity/Q510223,212000-0845,Karlshamns kommun,Q510223
http://www.wikidata.org/entity/Q509634,212000-1991,Karlskoga kommun,Q509634
http://www.wikidata.org/entity/Q1128384,212000-0829,Karlskrona kommun,Q1128384
http://www.wikidata.org/entity/Q498453,212000-1850,Karlstads kommun,Q498453
http://www.wikidata.org/entity/Q508140,212000-0340,Katrineholms kommun,Q508140
http://www.wikidata.org/entity/Q499393,212000-1751,Kils kommun,Q499393
http://www.wikidata.org/entity/Q515299,212000-0399,Kinda kommun,Q515299
http://www.wikidata.org/entity/Q499474,212000-2783,Kiruna kommun,Q499474
http://www.wikidata.org/entity/Q504614,212000-0928,Klippans kommun,Q504614
http://www.wikidata.org/entity/Q504465,212000-3013,Knivsta kommun,Q504465
http://www.wikidata.org/entity/Q514815,212000-2429,Kramfors kommun,Q514815
http://www.wikidata.org/entity/Q498857,212000-0951,Kristianstads kommun,Q498857
http://www.wikidata.org/entity/Q510364,212000-1868,Kristinehamns kommun,Q510364
http://www.wikidata.org/entity/Q514707,212000-2478,Krokoms kommun,Q514707
http://www.wikidata.org/entity/Q504988,212000-1975,Kumla kommun,Q504988
http://www.wikidata.org/entity/Q499380,212000-1256,Kungsbacka kommun,Q499380
http://www.wikidata.org/entity/Q47169,212000-2056,Kungsörs kommun,Q47169
http://www.wikidata.org/entity/Q511394,212000-1371,Kungälvs kommun,Q511394
http://www.wikidata.org/entity/Q513370,212000-1058,Kävlinge kommun,Q513370
http://www.wikidata.org/entity/Q42009,212000-2114,Köpings kommun,Q42009
http://www.wikidata.org/entity/Q487502,212000-1223,Laholms kommun,Q487502
http://www.wikidata.org/entity/Q502298,212000-1140,Landskrona kommun,Q502298
http://www.wikidata.org/entity/Q515326,212000-1918,Laxå kommun,Q515326
http://www.wikidata.org/entity/Q515282,212000-2981,Lekebergs kommun,Q515282
http://www.wikidata.org/entity/Q509651,212000-2163,Leksands kommun,Q509651
http://www.wikidata.org/entity/Q503188,212000-1447,Lerums kommun,Q503188
http://www.wikidata.org/entity/Q509488,212000-0613,Lessebo kommun,Q509488
http://www.wikidata.org/entity/Q3120654,212000-0191,Lidingö kommun,Q3120654
http://www.wikidata.org/entity/Q515358,212000-1694,Lidköpings kommun,Q515358
http://www.wikidata.org/entity/Q511241,212000-1496,Lilla Edets kommun,Q511241
http://www.wikidata.org/entity/Q514858,212000-2015,Lindesbergs kommun,Q514858
http://www.wikidata.org/entity/Q499410,212000-0449,Linköpings kommun,Q499410
http://www.wikidata.org/entity/Q504235,212000-0670,Ljungby kommun,Q504235
http://www.wikidata.org/entity/Q515235,212000-2320,Ljusdals kommun,Q515235
http://www.wikidata.org/entity/Q514739,212000-1959,Ljusnarsbergs kommun,Q514739
http://www.wikidata.org/entity/Q427991,212000-1066,Lomma kommun,Q427991
http://www.wikidata.org/entity/Q503184,212000-2270,Ludvika kommun,Q503184
http://www.wikidata.org/entity/Q177019,212000-2742,Luleå kommun,Q177019
http://www.wikidata.org/entity/Q505018,212000-1132,Lunds kommun,Q505018
http://www.wikidata.org/entity/Q948462,212000-2635,Lycksele kommun,Q948462
http://www.wikidata.org/entity/Q503173,212000-1389,Lysekils kommun,Q503173
http://www.wikidata.org/entity/Q503361,212000-1124,Malmö kommun,Q503361
http://www.wikidata.org/entity/Q504266,212000-2148,Malung-Sälens kommun,Q504266
http://www.wikidata.org/entity/Q501540,212000-2866,Malå kommun,Q501540
http://www.wikidata.org/entity/Q427422,212000-1686,Mariestads kommun,Q427422
http://www.wikidata.org/entity/Q240574,212000-0654,Markaryds kommun,Q240574
http://www.wikidata.org/entity/Q500153,212000-1504,Marks kommun,Q500153
http://www.wikidata.org/entity/Q501438,212000-1488,Melleruds kommun,Q501438
http://www.wikidata.org/entity/Q267030,212000-0480,Mjölby kommun,Q267030
http://www.wikidata.org/entity/Q504239,212000-2213,Mora kommun,Q504239
http://www.wikidata.org/entity/Q508108,212000-2817,Motala kommun,Q508108
http://www.wikidata.org/entity/Q505076,212000-1603,Mullsjö kommun,Q505076
http://www.wikidata.org/entity/Q389040,212000-1330,Munkedals kommun,Q389040
http://www.wikidata.org/entity/Q501494,212000-1801,Munkfors kommun,Q501494
http://www.wikidata.org/entity/Q511270,212000-1363,Mölndals kommun,Q511270
http://www.wikidata.org/entity/Q515250,212000-0720,Mönsterås kommun,Q515250
http://www.wikidata.org/entity/Q514756,212000-0704,Mörbylånga kommun,Q514756
http://www.wikidata.org/entity/Q946647,212000-0167,Nacka kommun,Q946647
http://www.wikidata.org/entity/Q285894,212000-2007,Nora kommun,Q285894
http://www.wikidata.org/entity/Q37404,212000-2072,Norbergs kommun,Q37404
http://www.wikidata.org/entity/Q514805,212000-2312,Nordanstigs kommun,Q514805
http://www.wikidata.org/entity/Q514722,212000-2536,Nordmalings kommun,Q514722
http://www.wikidata.org/entity/Q504676,212000-0456,Norrköpings kommun,Q504676
http://www.wikidata.org/entity/Q214048,212000-0217,Norrtälje kommun,Q214048
http://www.wikidata.org/entity/Q507644,212000-2858,Norsjö kommun,Q507644
http://www.wikidata.org/entity/Q515318,212000-0753,Nybro kommun,Q515318
http://www.wikidata.org/entity/Q499460,212000-2999,Nykvarns kommun,Q499460
http://www.wikidata.org/entity/Q500267,212000-2940,Nyköpings kommun,Q500267
http://www.wikidata.org/entity/Q505090,212000-0233,Nynäshamns kommun,Q505090
http://www.wikidata.org/entity/Q505096,212000-0548,Nässjö kommun,Q505096
http://www.wikidata.org/entity/Q505109,212000-2288,Ockelbo kommun,Q505109
http://www.wikidata.org/entity/Q504257,212000-0811,Olofströms kommun,Q504257
http://www.wikidata.org/entity/Q504630,212000-2189,Orsa kommun,Q504630
http://www.wikidata.org/entity/Q338752,212000-1314,Orusts kommun,Q338752
http://www.wikidata.org/entity/Q504594,212000-0902,Osby kommun,Q504594
http://www.wikidata.org/entity/Q505006,212000-0761,Oskarshamns kommun,Q505006
http://www.wikidata.org/entity/Q505085,212000-2304,Ovanåkers kommun,Q505085
http://www.wikidata.org/entity/Q505246,212000-0324,Oxelösunds kommun,Q505246
http://www.wikidata.org/entity/Q186230,212000-2718,Pajala kommun,Q186230
http://www.wikidata.org/entity/Q125222,212000-1272,Partille kommun,Q125222
http://www.wikidata.org/entity/Q504249,212000-0910,Perstorps kommun,Q504249
http://www.wikidata.org/entity/Q507656,212000-2759,Piteå kommun,Q507656
http://www.wikidata.org/entity/Q515342,212000-2452,Ragunda kommun,Q515342
http://www.wikidata.org/entity/Q374794,212000-0803,Region Gotland,Q374794
http://www.wikidata.org/entity/Q507670,212000-2551,Robertsfors kommun,Q507670
http://www.wikidata.org/entity/Q515373,212000-0837,Ronneby kommun,Q515373
http://www.wikidata.org/entity/Q504244,212000-2171,Rättviks kommun,Q504244
http://www.wikidata.org/entity/Q37399,212000-2098,Sala kommun,Q37399
http://www.wikidata.org/entity/Q516080,212000-2874,Salems kommun,Q516080
http://www.wikidata.org/entity/Q149539,212000-2346,Sandvikens kommun,Q149539
http://www.wikidata.org/entity/Q216915,212000-0225,Sigtuna kommun,Q216915
http://www.wikidata.org/entity/Q504626,212000-0969,Simrishamns kommun,Q504626
http://www.wikidata.org/entity/Q504601,212000-1090,Sjöbo kommun,Q504601
http://www.wikidata.org/entity/Q499421,212000-1702,Skara kommun,Q499421
http://www.wikidata.org/entity/Q430780,212000-2643,Skellefteå kommun,Q430780
http://www.wikidata.org/entity/Q37462,212000-2023,Skinnskattebergs kommun,Q37462
http://www.wikidata.org/entity/Q515266,212000-1082,Skurups kommun,Q515266
http://www.wikidata.org/entity/Q501452,212000-1710,Skövde kommun,Q501452
http://www.wikidata.org/entity/Q505046,212000-2205,Smedjebackens kommun,Q505046
http://www.wikidata.org/entity/Q221990,212000-2437,Sollefteå kommun,Q221990
http://www.wikidata.org/entity/Q503746,212000-0134,Sollentuna kommun,Q503746
http://www.wikidata.org/entity/Q109010,212000-0183,Solna kommun,Q109010
http://www.wikidata.org/entity/Q501463,212000-2585,Sorsele kommun,Q501463
http://www.wikidata.org/entity/Q501420,212000-1322,Sotenäs kommun,Q501420
http://www.wikidata.org/entity/Q504609,212000-1017,Staffanstorps kommun,Q504609
http://www.wikidata.org/entity/Q511438,212000-1298,Stenungsunds kommun,Q511438
http://www.wikidata.org/entity/Q506250,212000-0142,Stockholms kommun,Q506250
http://www.wikidata.org/entity/Q505936,212000-1785,Storfors kommun,Q505936
http://www.wikidata.org/entity/Q499415,212000-2577,Storumans kommun,Q499415
http://www.wikidata.org/entity/Q501532,212000-0365,Strängnäs kommun,Q501532
http://www.wikidata.org/entity/Q501424,212000-1405,Strömstads kommun,Q501424
http://www.wikidata.org/entity/Q514770,212000-2486,Strömsunds kommun,Q514770
http://www.wikidata.org/entity/Q972564,212000-0175,Sundbybergs kommun,Q972564
http://www.wikidata.org/entity/Q504994,212000-2411,Sundsvalls kommun,Q504994
http://www.wikidata.org/entity/Q501205,212000-1843,Sunne kommun,Q501205
http://www.wikidata.org/entity/Q34078,212000-2031,Surahammars kommun,Q34078
http://www.wikidata.org/entity/Q504227,212000-0993,Svalövs kommun,Q504227
http://www.wikidata.org/entity/Q515706,212000-1074,Svedala kommun,Q515706
http://www.wikidata.org/entity/Q501487,212000-1512,Svenljunga kommun,Q501487
http://www.wikidata.org/entity/Q511326,212000-1900,Säffle kommun,Q511326
http://www.wikidata.org/entity/Q1345439,212000-2247,Säters kommun,Q1345439
http://www.wikidata.org/entity/Q505239,212000-0563,Sävsjö kommun,Q505239
http://www.wikidata.org/entity/Q145835,212000-2353,Söderhamns kommun,Q145835
http://www.wikidata.org/entity/Q515680,212000-0464,Söderköpings kommun,Q515680
http://www.wikidata.org/entity/Q516336,212000-0159,Södertälje kommun,Q516336
http://www.wikidata.org/entity/Q515409,212000-0852,Sölvesborgs kommun,Q515409
http://www.wikidata.org/entity/Q511228,212000-1348,Tanums kommun,Q511228
http://www.wikidata.org/entity/Q501432,212000-1660,Tibro kommun,Q501432
http://www.wikidata.org/entity/Q501459,212000-1736,Tidaholms kommun,Q501459
http://www.wikidata.org/entity/Q510198,212000-0266,Tierps kommun,Q510198
http://www.wikidata.org/entity/Q504983,212000-2395,Timrå kommun,Q504983
http://www.wikidata.org/entity/Q515491,212000-0621,Tingsryds kommun,Q515491
http://www.wikidata.org/entity/Q501448,212000-1306,Tjörns kommun,Q501448
http://www.wikidata.org/entity/Q515519,212000-0886,Tomelilla kommun,Q515519
http://www.wikidata.org/entity/Q510135,212000-1777,Torsby kommun,Q510135
http://www.wikidata.org/entity/Q515551,212000-0696,Torsås kommun,Q515551
http://www.wikidata.org/entity/Q501479,212000-1462,Tranemo kommun,Q501479
http://www.wikidata.org/entity/Q505071,212000-0597,Tranås kommun,Q505071
http://www.wikidata.org/entity/Q504219,212000-1199,Trelleborgs kommun,Q504219
http://www.wikidata.org/entity/Q28532,212000-1546,Trollhättans kommun,Q28532
http://www.wikidata.org/entity/Q505064,212000-2957,Trosa kommun,Q505064
http://www.wikidata.org/entity/Q113730,212000-0092,Tyresö kommun,Q113730
http://www.wikidata.org/entity/Q493066,212000-0118,Täby kommun,Q493066
http://www.wikidata.org/entity/Q501470,212000-1678,Töreboda kommun,Q501470
http://www.wikidata.org/entity/Q501442,212000-1397,Uddevalla kommun,Q501442
http://www.wikidata.org/entity/Q382808,212000-1579,Ulricehamns kommun,Q382808
http://www.wikidata.org/entity/Q507709,212000-2627,Umeå kommun,Q507709
http://www.wikidata.org/entity/Q499425,212000-0019,Upplands Väsby kommun,Q499425
http://www.wikidata.org/entity/Q113673,212000-0100,Upplands-Bro kommun,Q113673
http://www.wikidata.org/entity/Q59091,212000-3005,Uppsala kommun,Q59091
http://www.wikidata.org/entity/Q515505,212000-0605,Uppvidinge kommun,Q515505
http://www.wikidata.org/entity/Q515969,212000-2825,Vadstena kommun,Q515969
http://www.wikidata.org/entity/Q605329,212000-0522,Vaggeryds kommun,Q605329
http://www.wikidata.org/entity/Q509997,212000-0431,Valdemarsviks kommun,Q509997
http://www.wikidata.org/entity/Q501526,212000-0027,Vallentuna kommun,Q501526
http://www.wikidata.org/entity/Q501551,212000-2130,Vansbro kommun,Q501551
http://www.wikidata.org/entity/Q501428,212000-2924,Vara kommun,Q501428
http://www.wikidata.org/entity/Q179180,212000-1249,Varbergs kommun,Q179180
http://www.wikidata.org/entity/Q500090,212000-2908,Vaxholms kommun,Q500090
http://www.wikidata.org/entity/Q511338,212000-1033,Vellinge kommun,Q511338
http://www.wikidata.org/entity/Q505052,212000-0571,Vetlanda kommun,Q505052
http://www.wikidata.org/entity/Q515861,212000-2601,Vilhelmina kommun,Q515861
http://www.wikidata.org/entity/Q505057,212000-0787,Vimmerby kommun,Q505057
http://www.wikidata.org/entity/Q504505,212000-2544,Vindelns kommun,Q504505
http://www.wikidata.org/entity/Q249378,212000-0308,Vingåkers kommun,Q249378
http://www.wikidata.org/entity/Q511426,212000-1538,Vänersborgs kommun,Q511426
http://www.wikidata.org/entity/Q500210,212000-2841,Vännäs kommun,Q500210
http://www.wikidata.org/entity/Q493841,212000-0035,Värmdö kommun,Q493841
http://www.wikidata.org/entity/Q280562,212000-0555,Värnamo kommun,Q280562
http://www.wikidata.org/entity/Q515477,212000-0779,Västerviks kommun,Q515477
http://www.wikidata.org/entity/Q34550,212000-2080,Västerås kommun,Q34550
http://www.wikidata.org/entity/Q500217,212000-0662,Växjö kommun,Q500217
http://www.wikidata.org/entity/Q511297,212000-1454,Vårgårda kommun,Q511297
http://www.wikidata.org/entity/Q515699,212000-0381,Ydre kommun,Q515699
http://www.wikidata.org/entity/Q505102,212000-1181,Ystads kommun,Q505102
http://www.wikidata.org/entity/Q254799,212000-0647,Älmhults kommun,Q254799
http://www.wikidata.org/entity/Q123855,212000-2197,Älvdalens kommun,Q123855
http://www.wikidata.org/entity/Q59858,212000-0258,Älvkarleby kommun,Q59858
http://www.wikidata.org/entity/Q255025,212000-2734,Älvsbyns kommun,Q255025
http://www.wikidata.org/entity/Q255206,212000-0977,Ängelholms kommun,Q255206
http://www.wikidata.org/entity/Q271079,212000-1587,Åmåls kommun,Q271079
http://www.wikidata.org/entity/Q271107,212000-2387,Ånge kommun,Q271107
http://www.wikidata.org/entity/Q271153,212000-2494,Åre kommun,Q271153
http://www.wikidata.org/entity/Q2777887,212000-1835,Årjängs kommun,Q2777887
http://www.wikidata.org/entity/Q271274,212000-2791,Åsele kommun,Q271274
http://www.wikidata.org/entity/Q201813,212000-0936,Åstorps kommun,Q201813
http://www.wikidata.org/entity/Q271340,212000-0415,Åtvidabergs kommun,Q271340
http://www.wikidata.org/entity/Q293928,212000-1280,Öckerö kommun,Q293928
http://www.wikidata.org/entity/Q293970,212000-0373,Ödeshögs kommun,Q293970
http://www.wikidata.org/entity/Q297718,212000-1967,Örebro kommun,Q297718
http://www.wikidata.org/entity/Q297936,212000-0878,Örkelljunga kommun,Q297936
http://www.wikidata.org/entity/Q298003,212000-2445,Örnsköldsviks kommun,Q298003
http://www.wikidata.org/entity/Q306789,212000-2528,Östersunds kommun,Q306789
http://www.wikidata.org/entity/Q117728,212000-2890,Österåkers kommun,Q117728
http://www.wikidata.org/entity/Q59093,212000-0290,Östhammars kommun,Q59093
http://www.wikidata.org/entity/Q307370,212000-0860,Östra Göinge kommun,Q307370
http://www.wikidata.org/entity/Q307569,212000-2684,Överkalix kommun,Q307569
http://www.wikidata.org/entity/Q307603,212000-2700,Övertorneå kommun,Q307603
